"crisis","indice","cluster","es_regimen_agudo","n_ventanas","prop_en_fase_aguda","score_tension","centro_rent_anual","centro_volatilidad","centro_drawdown","centro_correlacion"
"covid","^AXJO",1,FALSE,82,0.122,-2.6542,0.5004,-0.8579,0.7415,-0.5543
"covid","^AXJO",2,FALSE,45,0.1556,-0.3356,0.8089,-0.2857,0.5805,1.3395
"covid","^AXJO",3,TRUE,63,0.0952,3.6944,-1.2292,1.3207,-1.3798,-0.2353
"covid","^BVSP",1,FALSE,115,0.1391,-2.7206,0.4971,-0.7579,0.7061,-0.7594
"covid","^BVSP",2,FALSE,12,0,-1.4459,1.6598,0.2995,0.5357,0.4501
"covid","^BVSP",3,TRUE,63,0.1111,5.2416,-1.2236,1.3264,-1.391,1.3006
"covid","^BSESN",1,FALSE,94,0.1702,-2.554,0.2499,-0.7943,0.6685,-0.8414
"covid","^BSESN",2,FALSE,33,0.0606,-2.4073,1.4208,-0.249,0.738,5e-04
"covid","^BSESN",3,TRUE,63,0.0794,5.0717,-1.1171,1.3155,-1.384,1.2551
"covid","^MXX",1,FALSE,51,0.3137,-2.983,1.1794,-0.4343,0.9664,-0.4029
"covid","^MXX",2,TRUE,64,0.1094,5.0743,-1.1639,1.3008,-1.3054,1.3042
"covid","^MXX",3,FALSE,75,0,-2.3016,0.1912,-0.8147,0.4568,-0.839
"covid","000001.SS",1,FALSE,52,0.0192,-2.5804,-0.0932,-1.4973,0.9298,-0.2465
"covid","000001.SS",2,FALSE,48,0.3125,-2.7228,1.1081,0.3586,0.7518,-1.2215
"covid","000001.SS",3,TRUE,90,0.0778,2.943,-0.5371,0.6739,-0.9382,0.7939
"covid","^TWII",1,FALSE,34,0.0294,-3.5277,1.5268,-0.434,0.8428,-0.7241
"covid","^TWII",2,TRUE,65,0.1077,4.6961,-0.8424,1.313,-1.3391,1.2016
"covid","^TWII",3,FALSE,91,0.1648,-2.0363,0.0313,-0.7757,0.6416,-0.5877
"covid","^JKSE",1,FALSE,100,0.16,-2.6045,0.365,-0.78,0.6595,-0.8
"covid","^JKSE",2,FALSE,26,0,-2.462,1.4651,-0.2128,0.7846,6e-04
"covid","^JKSE",3,TRUE,64,0.1094,5.0697,-1.1655,1.3051,-1.3493,1.2498
"crisis2022","^GSPC",1,TRUE,98,0.9592,3.9151,-0.9914,0.8862,-0.8774,1.1601
"crisis2022","^GSPC",2,FALSE,95,0.1684,-3.7699,0.9455,-1.1842,1.1515,-0.4888
"crisis2022","^GSPC",3,FALSE,71,0.1408,-0.3596,0.1034,0.3613,-0.3297,-0.9472
"crisis2022","^GSPTSE",1,FALSE,62,0,-4.4668,0.9547,-1.4685,1.1884,-0.8553
